time,symbol,open,high,low,close,close_time,volume,unkown2,unkown3,unkown4,unkown5,unkown6
2023-02-26 20:14:00,BTCUSDT,1610.06,1610.06,1610.06,1610.06,0.0117,1677442499999,18.837702,1,0.0,0.0,0
2023-02-26 20:15:00,BTCUSDT,1609.73,1609.86,1609.72,1609.86,0.0697,1677442559999,112.201955,4,0.031,49.905532,0
2023-02-26 20:16:00,BTCUSDT,1609.86,1609.86,1609.86,1609.86,0.0,1677442619999,0.0,0,0.0,0.0,0
2023-02-26 20:17:00,BTCUSDT,1609.21,1609.21,1609.21,1609.21,0.0652,1677442679999,104.920492,1,0.0,0.0,0
2023-02-26 20:18:00,BTCUSDT,1609.21,1609.21,1609.21,1609.21,0.0,1677442739999,0.0,0,0.0,0.0,0
2023-02-26 20:19:00,BTCUSDT,1609.21,1609.21,1609.21,1609.21,0.0,1677442799999,0.0,0,0.0,0.0,0
2023-02-26 20:20:00,BTCUSDT,1609.21,1609.21,1609.21,1609.21,0.0,1677442859999,0.0,0,0.0,0.0,0
2023-02-26 20:21:00,BTCUSDT,1609.49,1609.49,1608.1,1608.1,6.1409,1677442919999,9876.102752,4,0.0,0.0,0
2023-02-26 20:22:00,BTCUSDT,1608.1,1608.1,1608.1,1608.1,0.0,1677442979999,0.0,0,0.0,0.0,0
2023-02-26 20:23:00,BTCUSDT,1609.3,1610.07,1609.21,1610.07,0.5916,1677443039999,952.089737,5,0.1028,165.426788,0
2023-02-26 20:24:00,BTCUSDT,1610.07,1610.07,1610.07,1610.07,0.0,1677443099999,0.0,0,0.0,0.0,0
2023-02-26 20:25:00,BTCUSDT,1610.07,1610.07,1610.07,1610.07,0.0,1677443159999,0.0,0,0.0,0.0,0
2023-02-26 20:26:00,BTCUSDT,1610.6,1610.6,1610.59,1610.59,0.6092,1677443219999,981.1745,6,0.6092,981.1745,0
2023-02-26 20:27:00,BTCUSDT,1610.59,1610.59,1610.59,1610.59,0.1862,1677443279999,299.891858,1,0.0,0.0,0
2023-02-26 20:28:00,BTCUSDT,1610.59,1610.59,1610.59,1610.59,0.0,1677443339999,0.0,0,0.0,0.0,0
2023-02-26 20:29:00,BTCUSDT,1610.6,1610.6,1610.6,1610.6,18.6312,1677443399999,30007.41072,2,18.6312,30007.41072,0
2023-02-26 20:30:00,BTCUSDT,1610.6,1610.6,1610.6,1610.6,0.0,1677443459999,0.0,0,0.0,0.0,0
2023-02-26 20:31:00,BTCUSDT,1612.52,1612.7,1612.52,1612.7,0.0126,1677443519999,20.318886,2,0.0063,10.158876,0
2023-02-26 20:32:00,BTCUSDT,1612.85,1613.63,1612.85,1613.63,0.2356,1677443579999,380.029376,5,0.2356,380.029376,0
2023-02-26 20:33:00,BTCUSDT,1615.0,1622.22,1615.0,1622.22,2.4224,1677443639999,3919.816538,29,2.0867,3376.948832,0
2023-02-26 20:34:00,BTCUSDT,1623.41,1623.58,1619.64,1619.64,0.4759,1677443699999,772.338548,6,0.4084,663.012848,0
2023-02-26 20:35:00,BTCUSDT,1621.29,1621.29,1621.29,1621.29,0.022,1677443759999,35.66838,1,0.022,35.66838,0
2023-02-26 20:36:00,BTCUSDT,1621.29,1621.29,1621.29,1621.29,0.0616,1677443819999,99.871464,1,0.0616,99.871464,0
2023-02-26 20:37:00,BTCUSDT,1619.0,1619.0,1619.0,1619.0,0.1272,1677443879999,205.9368,1,0.1272,205.9368,0
2023-02-26 20:38:00,BTCUSDT,1619.2,1619.2,1619.2,1619.2,0.0103,1677443939999,16.67776,1,0.0,0.0,0
2023-02-26 20:39:00,BTCUSDT,1619.2,1619.2,1619.2,1619.2,0.0,1677443999999,0.0,0,0.0,0.0,0
2023-02-26 20:40:00,BTCUSDT,1619.2,1619.2,1619.2,1619.2,0.0135,1677444059999,21.8592,1,0.0135,21.8592,0
2023-02-26 20:41:00,BTCUSDT,1619.2,1619.2,1619.2,1619.2,0.0,1677444119999,0.0,0,0.0,0.0,0
2023-02-26 20:42:00,BTCUSDT,1619.2,1619.2,1619.2,1619.2,0.0,1677444179999,0.0,0,0.0,0.0,0
